,titles,subtitles,links
0,HAA-RDLY TRYING,Haaland takes just seven minutes to get back scoring as City win friendly,https://www.thesun.co.uk/sport/23147039/erling-haaland-man-city-yokohama-friendly-win/
1,'NOT THE RIGHT PERSON',Lineker responds to BBC legend after being told to 'stick to footy',https://www.thesun.co.uk/sport/23147406/gary-lineker-response-match-of-the-day-des-lynam/
2,BARN STORMER,Barnes COMPLETES 'dream' transfer to Newcastle after relegation with Leicester,https://www.thesun.co.uk/sport/23147750/harvey-barnes-joins-newcastle-transfer-news/
3,SPUR OF THE MOMENT,Tottenham BAN reporter who left Postecoglou furious with Kane stunt,https://www.thesun.co.uk/sport/23147259/tottenham-postecoglou-harry-kane-bayern-munich-transfer/
4,SPIN IT TO WIN IT,Get the best free spins bonuses with our guide to the top casino deals,https://www.thesun.co.uk/betting/22174907/free-spins-bonuses/
5,THIGHS 'N DOLLS,OnlyFans star Madelene risks Instagram ban in SEE-THROUGH Barbie lingerie,https://www.thesun.co.uk/sport/23148877/onlyfans-football-madelene-wright-instagram-barbie-lingerie/
6,,Watch fan get punched by rival supporter as crowd fight at United vs Arsenal,https://www.thesun.co.uk/sport/23145809/arsenal-manchester-united-fans-fight-in-stands-lisandro-martinez/
7,,Arsenal's Fabio Vieira 'sends penalty to Philadelphia' and blames spot for miss,https://www.thesun.co.uk/sport/23146178/fabio-vieira-arsenal-penalty-miss-manchester-united/
8,MAKES YOU MAD,Utd star Diallo spotted limping from stadium on crutches amid transfer fear,https://www.thesun.co.uk/sport/23149415/manchester-united-transfer-news-amad-diallo-arsenal-sunderland/
9,CAS CLOSED,"Top 10 casino sites revealed & reviewed including offers, games & pay-out terms",https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
10,,Man Utd fans fume ‘delete this’ after Twitter admin posts clip of Antony,https://www.thesun.co.uk/sport/23147063/man-utd-fans-fume-twitter-clip-antony-arsenal/
11,,Kai Havertz brutally trolled by MUTV during United's 2-0 win over Arsenal,https://www.thesun.co.uk/sport/23146905/kai-havertz-trolled-arsenal-manchester-united-mutv-commentator/
12,,Fans call Harry Maguire 'the GOAT' after hilarious response on social media,https://www.thesun.co.uk/sport/23148353/harry-maguire-manchester-united-arsenal-england/
13,NOT IN A HARRY,Harry Kane set to sign new deal but Spurs star's future STILL up in the air,https://www.thesun.co.uk/sport/23145616/harry-kane-new-deal-tottenham-transfer-news-bayern-munich/
14,IN ARN OUT,Fulham plot cut-price move for Everton's ex-England U21 star after Danjuma move,https://www.thesun.co.uk/sport/23147327/fulham-demarai-gray-everton-transfer-arnaut-danjuma/
15,AL TEL,Man Utd outcast Alex Telles completes transfer to Saudi side Al Nassr,https://www.thesun.co.uk/sport/23146299/man-utd-telles-transfer-cristiano-ronaldo/
16,,Wilfried Zaha posts video from flight to shock new club after long transfer race,https://www.thesun.co.uk/sport/23147716/galatasaray-transfer-race-wilfried-zaha/
17,SETTING IT UP,Chelsea 'agree deal with Prem assist king and could trigger £35m exit clause',https://www.thesun.co.uk/sport/23149139/chelsea-michael-olise-transfer-bid-crystal-palace/
18,ARSENAL NEWS,"£200m Mbappe blow, Gunners eyeing Douglas Luiz move, Romeo Lavia latest",https://www.thesun.co.uk/sport/23127190/arsenal-transfer-news-live-mbappe-douglas-luiz-pepe-latest/
19,RED DEVILS LIVE,"Rasmus Hojlund 'will cost £86m', Kolo Muani talks, Sheikh Jassim takeover",https://www.thesun.co.uk/sport/22653636/man-utd-transfer-news-live-rasmus-hojlund-takeover-latest/
20,ON YOUR MARC,Fulham manager Marco Silva 'makes shock decision on mega-money Saudi job',https://www.thesun.co.uk/sport/23147665/fulham-manager-marco-silva-future-saudi-arabia/
21,JILLS 'N THRILLS,Scott vows to get extremely X-rated tattoo if England win World Cup,https://www.thesun.co.uk/sport/23148664/england-lionesses-jill-scott-x-rated-tattoo/
22,,Women's World Cup team forced to flee Auckland hotel due to 'devastating' fire,https://www.thesun.co.uk/sport/23146072/womens-world-cup-new-zealand-hotel-arson-attack/
23,DALY GRIND,Daly says 'no one is happy to sit on bench' but respects Wiegman's decision,https://www.thesun.co.uk/sport/23146878/rachel-daly-england-lionesses-womens-world-cup/
24,,Laura Woods ‘makes fans’ Saturday morning’ as she presents Women's World Cup,https://www.thesun.co.uk/sport/23139267/laura-woods-england-womens-world-cup/
25,GOLDEN GIRLS,"Latest Women's World Cup odds, predictions & free bets in our superb preview",https://www.thesun.co.uk/betting/22935637/womens-world-cup-2023-betting-preview-odds-tips-predictions/
26,CAN'T BE WRIGHT,Ian Wright calls for BAN on popular signs spotted at England World Cup win,https://www.thesun.co.uk/sport/23140881/ian-wright-calls-ban-signs-england-world-cup-fans/
27,,England fans go wild home AND away as Lionesses win 1-0 in the World Cup,https://www.thesun.co.uk/sport/23139857/england-lionesses-haiti-womens-world-cup/
28,ROYAL ORDER,Fans send cheeky plea to Prince William as he posts England good luck message,https://www.thesun.co.uk/sport/football/23139816/prince-william-england-world-cup/
29,GOOD CALL,All the best Pay by Mobile casinos revealed - and how to make the most of them,https://www.thesun.co.uk/betting/21296516/pay-by-mobile-casino-uk-2023/
30,WHAT A BONUS!,Check out all the best no deposit bonus sites and exactly how they work,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
31,BRAVE NEW WHIRL,Check out the best new online casinos including welcome offers and bonuses,https://www.thesun.co.uk/betting/21169900/new-casinos/
32,FEVER PITCH,My home overlooks footy ground but club owner got me arrested & banned for LIFE,https://www.thesun.co.uk/sport/23116631/lifes-a-pitch-football-stadium-gillingham/
33,WHAT A MESS,I'm former Man Utd star who was forced out of my club to make way for Messi,https://www.thesun.co.uk/sport/23149606/man-utd-odion-ighalo-lionel-messi-saudi-arabia/
34,,Fernandes forced to pull Ten Hag away from fourth official during Arsenal win,https://www.thesun.co.uk/sport/23146890/fernandes-ten-hag-man-utd-arsenal/
35,KICKED OUT,David Goodwillie's latest club face losing their GROUND over signing of rapist,https://www.thesun.co.uk/sport/23149580/david-goodwillie-glasgow-united-losing-ground-signing-rapist/
36,YOU'RE WELCOME,All the best UK casino welcome bonuses for new players revealed,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
37,TONI & HER GUY,John Terry’s wife Toni flashes abs in bikini as she snogs footie ace,https://www.thesun.co.uk/sport/23143637/john-terry-wife-toni-toni-abs-snogs-portugal-beach/
38,DON'T SUFFER FULS,Fulham agree fee with rivals for striker after Mitrovic 'refuses to play',https://www.thesun.co.uk/sport/23148142/fulham-transfer-raul-jimenez-wolves-mitrovic/
39,COL SHOULDER,Chelsea boss Poch responds to Colwill rumour as Brighton eye Caicedo swap,https://www.thesun.co.uk/sport/23148655/chelsea-colwill-caicedo-transfer-swap-pochettino/
40,"SAINT, NOT SINNERS","Howe insists Saint-Maximin's £30million Saudi move is ""above board""",https://www.thesun.co.uk/sport/football/23144780/howe-saint-maximin-saudi-move/
41,AARON AND ON,Man Utd set to block Palace move and hand Wan-Bissaka another year on deal,https://www.thesun.co.uk/sport/23142179/man-utd-wan-bissaka-contract-crystal-palace-transfer/
42,"ASH, BANG, WALLOP","Latest odds, offers & tips for fourth Test between England and Australia",https://www.thesun.co.uk/betting/23080993/the-ashes-fourth-test-odds/
43,TOP BONUS,Get £20 in free bets when you stake £5 on football with Ladbrokes,https://www.thesun.co.uk/sport/22580085/ladbrokes-free-bets-new-customer-bonus-football/
44,TOP 40,Women's World Cup 2023: Get £40 football welcome bonus with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
45,WHAT A MESS,Fans mock Inter Miami star after unfortunate incident during Messi debut,https://www.thesun.co.uk/sport/23140469/inter-miami-messi-robinson/
46,DREAM KYLER,Tottenham 'enter Kylian Mbappe transfer race' - much to the amusement of fans,https://www.thesun.co.uk/sport/23145450/tottenham-spurs-kylian-mbappe-transfer-news/
47,FEELING BLUE,Chelsea could lose wonderkid to rivals with star available on free next year,https://www.thesun.co.uk/sport/23142226/chelsea-ian-maatsen-burnley-transfer/
48,ROVER 'N OUTCH,Spurs stunned as Blackburn demand huge fee for whizkid wanted by Postecoglou,https://www.thesun.co.uk/sport/23142040/tottenham-blackburn-transfer-ashley-phillips/
49,SET THE TONE,Ivan Toney could leave Brentford before return from eight-month ban,https://www.thesun.co.uk/sport/23143140/ivan-toney-brentford-transfer-news-betting-ban/
